##|##
Ngrams|Frequency
81 VBD RB |0.01021615
82 RB VBN |0.00365908
83 VBN DT |0.00164512
84 DT JJS |0.00049763
85 JJS NNS |0.00009367
86 NNP , |0.00458995
87 , WRB |0.00091916
88 DT JJ |0.01940190
89 JJ CC |0.00183247
90 CC JJ |0.00251745
91 VBD JJ |0.00258185
92 JJ VBN |0.00031614
93 NN JJ |0.00104796
94 NNS VBN |0.00031614
95 IN PRP |0.01915601
96 , VBG |0.00255257
97 VBG IN |0.00343075
98 TO VB |0.01463046
99 VB DT |0.00462508
100 NN WP$ |0.00005855
101 WP$ NN |0.00019905
102 VBN , |0.00190272
103 , VBD |0.00224228
104 VBD DT |0.00665074
105 DT RB |0.00111821
106 RB JJR |0.00022247
107 JJR JJ |0.00015807
108 IN TO |0.00111236
109 VB IN |0.00538031
110 IN VBG |0.00365322
111 VBG DT |0.00252916
112 NNS PRP |0.00072596
113 PRP . |0.00632874
114 RB PRP |0.00324341
115 PRP VBD |0.03008641
116 IN CD |0.00144021
117 CD JJ |0.00024589
118 , WP$ |0.00014051
119 WP$ NNS |0.00007611
120 NN NNS |0.00109480
121 , VBN |0.00060887
122 NNS DT |0.00027516
123 IN PRP$ |0.01117044
124 PRP$ NN |0.01317269
125 NN . |0.01541497
126 IN `` |0.00020491
127 `` NNP |0.00155730
128 NNP POS |0.00175050
129 POS VBZ |0.00000585
130 VBZ RB |0.00196127
131 RB VBG |0.00117091
132 VBG RB |0.00154560
133 , CC |0.01560817
134 CC MD |0.00029273
135 VB RB |0.00312046
136 VBN . |0.00163927
137 VBZ , |0.00038640
138 , PRP |0.00474217
139 VB , |0.00205494
140 JJS RB |0.00002342
141 IN PDT |0.00036298
142 PDT DT |0.00116505
143 VBP PRP |0.00291555
144 PRP VBP |0.01450752
145 VBN TO |0.00240036
146 VB PRP$ |0.00220130
147 JJ JJ |0.00292726
148 CC NNS |0.00114163
149 NNS : |0.00099527
150 : CC |0.00344246
151 CC PRP |0.00577256
152 PRP VBZ |0.00450213
153 TO , |0.00014051
154 CC DT |0.00333123
155 IN , |0.00122360
156 DT NNP |0.00296239
157 , WDT |0.00117091
158 WDT , |0.00014051
159 VBG NN |0.00115334
160 JJ . |0.00334293
161 DT , |0.00073182
162 , VBZ |0.00026345
163 RB -LRB- |0.00001171
164 -LRB- IN |0.00008196
165 CD NN |0.00064400
166 IN JJS |0.00022247
167 JJS -RRB- |0.00000000
168 -RRB- DT |0.00002342
169 WDT VBZ |0.00052105
170 VBZ TO |0.00032200
171 VBP TO |0.00076109
172 TO DT |0.00365908
173 DT VBN |0.00065571
174 VBN NN |0.00111821
175 NN MD |0.00127043
176 NN TO |0.00413330
177 NN WDT |0.00156901
178 VBZ DT |0.00175050
179 VBZ VBN |0.00111236
180 VBN JJ |0.00077865
181 CD DT |0.00007611
182 VBP NN |0.00038640
183 DT VBP |0.00016393
184 JJ PRP$ |0.00019320
185 NNP CC |0.00078451
186 CC NNP |0.00125287
187 NNS NNP |0.00008196
188 JJ NNP |0.00073182
189 NNP PRP$ |0.00008196
190 , NNS |0.00053276
191 , NNP |0.00211348
192 NNP . |0.00367079
193 IN JJR |0.00012880
194 JJR NNP |0.00000585
195 NNP PRP |0.00034542
196 PRP '' |0.00001171
197 POS NN |0.00225399
198 NN RBR |0.00011124
199 RBR RB |0.00019320
200 IN VBN |0.00042738
201 VBN RB |0.00199639
202 RB TO |0.00204323
203 DT WP |0.00009367
204 WP VBD |0.00139338
205 NN PRP |0.00354199
206 IN IN |0.00315559
207 RB VB |0.00818463
208 PRP$ NNS |0.00377617
209 NNS WRB |0.00016393
210 WRB VBG |0.00002927
211 PRP$ : |0.00032200
212 NN -LRB- |0.00007025
213 CC RB |0.00296824
214 VBN -RRB- |0.00001756
215 -RRB- , |0.00005269
216 DT PRP$ |0.00021662
217 VBN PRP |0.00169196
218 CD CC |0.00040982
219 CC CD |0.00073767
220 CD PRP |0.00009367
221 JJ IN |0.00510515
222 CD . |0.00074352
223 VBD NN |0.00122945
224 : WDT |0.00028687
225 WDT VBD |0.00172123
226 VBD PRP |0.00576671
227 PRP NNS |0.00018149
228 NNS . |0.00335464
229 DT IN |0.00104211
230 : PRP |0.00285701
231 JJ TO |0.00204908
232 RB : |0.00214861
233 : EX |0.00019905
234 EX PRP |0.00006440
235 VBD . |0.00242377
236 JJ : |0.00089574
237 : JJ |0.00032785
238 VBP IN |0.00118847
239 NNP NNS |0.00026931
240 CC VBD |0.00402791
241 IN . |0.00112407
242 TO PRP$ |0.00158072
243 NNS MD |0.00037469
244 NN VBP |0.00021076
245 VBP DT |0.00106552
246 POS VBD |0.00003513
247 DT JJR |0.00090745
248 PRP$ JJ |0.00456653
249 NN POS |0.00151632
250 NN RBS |0.00000000
251 RBS JJ |0.00016393
252 : IN |0.00179734
253 NNS WDT |0.00042153
254 WDT VBP |0.00018734
255 VBP RB |0.00517540
256 IN NNS |0.00265796
257 : VBD |0.00018734
258 IN WDT |0.00096014
259 WDT DT |0.00026931
260 JJ MD |0.00004684
261 VB VBN |0.00350101
262 VBD CD |0.00037469
263 WRB PRP |0.00287457
264 PRP NN |0.00040396
265 , NN |0.00094258
266 : RB |0.00139923
267 RB RB |0.00559107
268 NN PRP$ |0.00029273
269 VBD VBG |0.00178563
270 VBG PRP$ |0.00125287
271 VBP VBD |0.00016978
272 POS JJ |0.00032200
273 `` VBN |0.00008782
274 '' VBD |0.00246476
275 `` NN |0.00060887
276 , '' |0.00284530
277 '' PRP |0.00390497
278 , WP |0.00075523
279 WP , |0.00012880
280 VBG CC |0.00024589
281 CC VBG |0.00166854
282 NN VBN |0.00083134
283 VBG , |0.00071425
284 RB NNS |0.00017564
285 : `` |0.00088989
286 , MD |0.00039811
287 MD PRP |0.00089574
288 `` JJ |0.00039225
289 JJ PRP |0.00111821
290 MD RB |0.00467191
291 JJR DT |0.00001171
292 : NN |0.00035127
293 EX `` |0.00000000
294 NNP RB |0.00093087
295 UH , |0.00122945
296 VB RP |0.00079622
297 RP IN |0.00122360
298 '' `` |0.00879350
299 `` RB |0.00221301
300 VB : |0.00060302
301 VB WP |0.00042153
302 WP PRP |0.00145192
303 VB JJ |0.00171538
304 '' '' |0.00011709
305 VB NN |0.00129385
306 `` WRB |0.00087818
307 WRB . |0.00014051
308 `` IN |0.00088403
309 WP NNS |0.00007025
310 VBP , |0.00093087
311 , VBP |0.00045080
312 VBP . |0.00151632
313 WP RB |0.00014051
314 RB VBD |0.00306777
315 NN VBG |0.00135240
316 PRP RP |0.00046251
317 RP TO |0.00028102
318 TO PRP |0.00238279
319 PRP DT |0.00115334
320 PRP TO |0.00188516
321 TO NN |0.00089574
322 WP DT |0.00029858
323 NN PDT |0.00004684
324 DT VBZ |0.00084305
325 VBZ . |0.00033956
326 `` MD |0.00017564
327 PRP VB |0.00228327
328 EX VBZ |0.00047422
329 VBZ JJ |0.00082549
330 `` UH |0.00169781
331 VBP RP |0.00005855
332 RP PRP$ |0.00038640
333 `` WP |0.00070840
334 WP . |0.00014051
335 VBP EX |0.00001756
336 EX PDT |0.00000000
337 RB NN |0.00076694
338 VBG : |0.00012880
339 VBP JJR |0.00005855
340 JJR IN |0.00083134
341 DT . |0.00117091
342 WP VBZ |0.00058545
343 VBN VBG |0.00052691
344 VB CC |0.00054447
345 NNS JJ |0.00025174
346 VBZ NN |0.00036884
347 VBZ PRP |0.00090745
348 VBN RP |0.00069669
349 RP CC |0.00011709
350 UH DT |0.00005269
351 DT : |0.00056789
352 PRP WRB |0.00018149
353 CC , |0.00042738
354 RB WRB |0.00025174
355 WRB NNS |0.00009953
356 PRP : |0.00155145
357 WP MD |0.00026345
358 PRP JJ |0.00070840
359 : VB |0.00031029
360 `` VBZ |0.00012295
361 PRP NNP |0.00015222
362 VB . |0.00288628
363 WRB JJ |0.00032785
364 JJ VBZ |0.00009953
365 TO NNP |0.00087818
366 CC PRP$ |0.00107723
367 DT PRP |0.00026931
368 NNP VBP |0.00009953
369 VBP JJ |0.00089574
370 VBD : |0.00068498
371 VBD , |0.00295654
372 NNP VBZ |0.00036884
373 '' WRB |0.00006440
374 WRB CD |0.00001171
375 VBG VBZ |0.00002927
376 VBZ MD |0.00002342
377 VBN VBN |0.00089574
378 CD NNS |0.00132898
379 VBG RP |0.00073182
380 WDT RB |0.00022833
381 NNP VBG |0.00024004
382 NNP VBD |0.00394010
383 VBD TO |0.00351857
384 VBG VBN |0.00077865
385 IN CC |0.00023418
386 CD IN |0.00094258
387 DT CD |0.00064400
388 NNS VBG |0.00051520
389 RBR JJ |0.00038640
390 IN VBD |0.00020491
391 VBD NNS |0.00035127
392 JJ RBR |0.00001171
393 RBR , |0.00012295
394 `` DT |0.00100112
395 VBZ NNP |0.00008196
396 POS , |0.00006440
397 PRP VBG |0.00038640
398 POS NNP |0.00020491
399 VBN PRP$ |0.00075523
400 `` JJS |0.00000585
401 NNS VB |0.00007611
402 UH . |0.00028102
403 , PRP$ |0.00104211
404 NNP `` |0.00012295
405 WRB VBZ |0.00008782
406 `` NNS |0.00008196
407 NNS CC |0.00140509
408 VBD RP |0.00145192
409 , `` |0.00080792
410 PRP PRP$ |0.00008196
411 `` PRP |0.00573158
412 VBD NNP |0.00191443
413 VB NNP |0.00035713
414 '' NNP |0.00089574
415 RP JJ |0.00008196
416 '' VB |0.00025174
417 '' RB |0.00029273
418 DT VBD |0.00053276
419 `` PRP$ |0.00020491
420 '' CC |0.00024589
421 CC : |0.00014636
422 : '' |0.00046836
423 IN MD |0.00001756
424 RB VBZ |0.00022833
425 VBN : |0.00043909
426 `` CC |0.00117091
427 DT RBS |0.00017564
428 EX VBD |0.00084891
429 NNP VB |0.00019320
430 : UH |0.00018149
431 JJS NN |0.00032785
432 IN : |0.00038640
433 NN `` |0.00006440
434 JJR NN |0.00049763
435 TO NNS |0.00019905
436 WDT MD |0.00032785
437 VBN CD |0.00009367
438 VBD JJR |0.00019320
439 JJR CC |0.00005855
440 CC JJR |0.00010538
441 JJR . |0.00029858
442 CC VBZ |0.00019905
443 NNP EX |0.00000000
444 NN WP |0.00052691
445 VBD PDT |0.00007611
446 NNP TO |0.00028102
447 RP DT |0.00079622
448 VBD VBP |0.00001756
449 WRB RB |0.00022833
450 RB CD |0.00026345
451 VBP NNP |0.00009367
452 JJ VBD |0.00035713
453 VBD PRP$ |0.00222472
454 JJ VBG |0.00032200
455 VBD CC |0.00035713
456 JJR VBD |0.00001171
457 VBP VB |0.00021662
458 NNP MD |0.00026931
459 MD NNS |0.00000000
460 VB TO |0.00223643
461 IN '' |0.00002927
462 VBN NNP |0.00031029
463 POS DT |0.00006440
464 WDT `` |0.00000000
465 RB VBP |0.00056789
466 WDT PRP |0.00106552
467 VBG PRP |0.00161585
468 WRB IN |0.00007611
469 JJS IN |0.00022247
470 PRP$ VBP |0.00004098
471 VBP : |0.00038054
472 IN WP |0.00057960
473 IN VBP |0.00010538
474 PRP$ DT |0.00013465
475 CD MD |0.00008196
476 RB MD |0.00021662
477 JJ VBP |0.00021076
478 VBP MD |0.00002342
479 NN '' |0.00028687
480 IN WP$ |0.00006440
481 JJS . |0.00006440
482 POS . |0.00013465
483 VBZ : |0.00015222
484 WP IN |0.00009367
485 IN WRB |0.00027516
486 PRP JJR |0.00009367
487 CC WRB |0.00046251
488 VB VBG |0.00049763
489 VBG TO |0.00156901
490 VBD RBR |0.00024004
491 RBR VB |0.00005269
492 CD : |0.00011709
493 : . |0.00001756
494 , : |0.00004684
495 VBP VBG |0.00053276
496 IN -LRB- |0.00000585
497 -LRB- MD |0.00000000
498 PRP -RRB- |0.00002342
499 -RRB- PRP |0.00000585
500 PRP CC |0.00034542
501 NN VB |0.00036298
502 JJ CD |0.00048593
503 : VBZ |0.00012295
504 VB RBS |0.00000000
505 RB NNP |0.00034542
506 VB NNS |0.00042738
507 `` VBG |0.00008196
508 VBP NNS |0.00011124
509 NNS POS |0.00024589
510 POS WDT |0.00000000
511 CD TO |0.00004684
512 TO JJ |0.00025760
513 DT WRB |0.00002342
514 RP NN |0.00011124
515 CC TO |0.00037469
516 IN EX |0.00021662
517 PRP$ TO |0.00011124
518 VB WRB |0.00031029
519 PRP$ VBG |0.00067327
520 VBN WRB |0.00008782
521 RBR IN |0.00029273
522 NNS TO |0.00070840
523 PRP$ IN |0.00064985
524 WP NNP |0.00007611
525 PRP POS |0.00000000
526 CD POS |0.00000585
527 RP RB |0.00032200
528 PRP VBN |0.00021076
529 RP , |0.00042738
530 VB JJR |0.00015807
531 JJR RB |0.00007025
532 VBP CD |0.00007611
533 MD . |0.00033956
534 DT `` |0.00013465
535 `` VBD |0.00009953
536 EX , |0.00008196
537 CC EX |0.00017564
538 EX MD |0.00011709
539 `` EX |0.00018734
540 , TO |0.00066156
541 PRP$ RB |0.00062058
542 VBZ PRP$ |0.00033956
543 NNS WP |0.00023418
544 WP VBP |0.00026345
545 VBP PRP$ |0.00023418
546 UH UH |0.00014636
547 PRP$ JJR |0.00004684
548 JJR NNS |0.00019905
549 : PRP$ |0.00030444
550 JJS PRP |0.00004684
551 MD IN |0.00007025
552 VBZ CC |0.00002927
553 WRB NNP |0.00021662
554 '' TO |0.00001756
555 : TO |0.00019320
556 VBN CC |0.00033956
557 CC VBN |0.00056203
558 '' VBZ |0.00004098
559 `` VBP |0.00046251
560 : NNS |0.00012295
561 IN FW |0.00000000
562 FW FW |0.00002927
563 FW , |0.00001171
564 NNP RBR |0.00001756
565 RBR NNP |0.00000585
566 POS `` |0.00001756
567 VBN EX |0.00001171
568 EX IN |0.00004098
569 MD , |0.00021662
570 RB RBR |0.00034542
571 VB POS |0.00045080
572 POS NNS |0.00052691
573 POS : |0.00008196
574 WRB VB |0.00002342
575 '' PRP$ |0.00011124
576 VBG VBD |0.00009953
577 VBD EX |0.00007611
578 WRB EX |0.00006440
579 RBR CC |0.00009953
580 CC RBR |0.00011124
581 VBG JJ |0.00058545
582 MD VBZ |0.00000585
583 JJS WP |0.00000585
584 VBZ WRB |0.00009953
585 DT VB |0.00035713
586 '' VBG |0.00007025
587 VBP RBR |0.00002927
588 JJR , |0.00015807
589 UH NN |0.00001756
590 POS JJR |0.00000000
591 : VBG |0.00015222
592 WDT IN |0.00009367
593 WRB PRP$ |0.00016393
594 , EX |0.00015222
595 VBG `` |0.00002342
596 UH : |0.00047422
597 WRB VBP |0.00029273
598 `` VB |0.00062058
599 `` WDT |0.00005855
600 WDT NN |0.00022833
601 MD : |0.00006440
602 PRP$ VB |0.00008782
603 JJ WP |0.00001756
604 VBN NNS |0.00033956
605 , JJR |0.00007025
606 DT NNPS |0.00007611
607 NNPS , |0.00007025
608 , NNPS |0.00000000
609 VBG . |0.00066742
610 CC `` |0.00004684
611 CD RB |0.00033371
612 VB `` |0.00010538
613 : WRB |0.00032785
614 IN VBZ |0.00008196
615 WRB , |0.00022247
616 : VBN |0.00008196
617 POS VB |0.00004684
618 TO WRB |0.00004684
619 : : |0.00002342
620 EX VBP |0.00007611
621 TO . |0.00021662
622 WDT VBG |0.00000000
623 PRP$ NNP |0.00015222
624 WRB NN |0.00007611
625 RP . |0.00037469
626 VBN `` |0.00004684
627 DT RP |0.00001171
628 , PDT |0.00005855
629 NN RP |0.00007611
630 RP '' |0.00000000
631 '' : |0.00022833
632 VBZ RBR |0.00001756
633 NNS PDT |0.00001171
634 : JJR |0.00004684
635 VBP WP |0.00015807
636 VBP CC |0.00005269
637 : WP |0.00020491
638 NNPS DT |0.00000000
639 POS PRP |0.00004098
640 RB WP |0.00015222
641 VBG WP |0.00007025
642 JJR VBP |0.00001756
643 MD NN |0.00003513
644 : CD |0.00012880
645 RBR NNS |0.00001171
646 TO RB |0.00009953
647 `` PDT |0.00001171
648 WRB MD |0.00034542
649 WDT CD |0.00001756
650 CD WP |0.00010538
651 JJS JJ |0.00007025
652 CD WDT |0.00002342
653 NNS VBZ |0.00004098
654 RBR NN |0.00003513
655 PRP PRP |0.00044494
656 NNS PRP$ |0.00004098
657 '' JJ |0.00003513
658 DT MD |0.00008782
659 WDT NNP |0.00024004
660 VB PDT |0.00010538
661 : VBP |0.00025174
662 TO WP |0.00009367
663 CC WP |0.00027516
664 VBP VBZ |0.00002927
665 JJ JJR |0.00007025
666 POS RB |0.00004684
667 DT CC |0.00007025
668 MD TO |0.00035713
669 IN VB |0.00063229
670 VBG PDT |0.00004098
671 `` TO |0.00007611
672 CC '' |0.00001171
673 PRP EX |0.00007025
674 PRP$ CD |0.00007025
675 TO `` |0.00002927
676 RP VBD |0.00000000
677 PRP `` |0.00003513
678 TO WDT |0.00007611
679 WDT JJ |0.00011124
680 `` FW |0.00020491
681 FW MD |0.00000000
682 VBG WRB |0.00008782
683 VBZ WP |0.00018149
684 PRP$ , |0.00007611
685 RP WP |0.00000585
686 WP NN |0.00015222
687 NNP WDT |0.00008196
688 RP WRB |0.00002342
689 DT WDT |0.00005269
690 VBG JJR |0.00004098
691 VBZ NNS |0.00003513
692 PRP RBR |0.00006440
693 RBR DT |0.00002927
694 VBD VB |0.00064400
695 VBZ VBG |0.00026931
696 JJR TO |0.00009367
697 WDT PRP$ |0.00008196
698 JJR VBN |0.00000585
699 NN -RRB- |0.00005855
700 VB RBR |0.00012295
701 VBP WRB |0.00008196
702 TO PDT |0.00003513
703 RB PRP$ |0.00036298
704 TO : |0.00012295
705 RP PRP |0.00001171
706 DT TO |0.00006440
707 CC VBP |0.00044494
708 RBR VBN |0.00005855
709 : MD |0.00012295
710 FW RB |0.00001756
711 PDT TO |0.00000000
712 VBG CD |0.00005269
713 NNP WP |0.00002342
714 FW VBP |0.00000000
715 RP : |0.00007025
716 NNP -LRB- |0.00005269
717 -LRB- PRP |0.00002342
718 JJ WDT |0.00005855
719 WDT TO |0.00001171
720 VBZ RBS |0.00001171
721 VB VBD |0.00083720
722 JJS CC |0.00003513
723 CC JJS |0.00002927
724 `` CD |0.00007025
725 JJ WRB |0.00010538
726 VBZ CD |0.00009367
727 VBN PDT |0.00005855
728 -LRB- PRP$ |0.00000000
729 PRP$ JJS |0.00008196
730 VBN VBZ |0.00001756
731 CC . |0.00000000
732 NNPS IN |0.00007025
733 VB VB |0.00026931
734 PRP PDT |0.00005855
735 VBZ RP |0.00005269
736 CC UH |0.00000585
737 PRP$ . |0.00013465
738 MD DT |0.00009953
739 CD VBZ |0.00005269
740 NNP FW |0.00001171
741 FW NNP |0.00002342
742 VBG MD |0.00000585
743 JJ VB |0.00009367
744 '' EX |0.00007025
745 NNPS . |0.00005269
746 VBD VBD |0.00009953
747 VB CD |0.00011709
748 VBD WP |0.00019905
749 RBR : |0.00003513
750 NNP RP |0.00000585
751 VB MD |0.00007025
752 VB EX |0.00000585
753 PRP WDT |0.00004098
754 NNS JJR |0.00002927
755 JJR `` |0.00000000
756 '' -LRB- |0.00004684
757 EX : |0.00008782
758 NN JJR |0.00011124
759 RP NNS |0.00005269
760 WP : |0.00011124
761 POS -LRB- |0.00000585
762 DT DT |0.00017564
763 JJR : |0.00005855
764 VBZ WDT |0.00000000
765 WDT . |0.00002342
766 POS VBP |0.00001756
767 EX . |0.00009953
768 TO VBG |0.00008782
769 MD WP |0.00000000
770 DT EX |0.00000000
771 PRP$ VBN |0.00009953
772 JJS PDT |0.00000000
773 FW VBD |0.00000000
774 IN NNPS |0.00001756
775 NNPS NNPS |0.00000000
776 VBD `` |0.00012295
777 WP WDT |0.00001171
778 PRP CD |0.00008782
779 CD JJR |0.00004684
780 WRB VBD |0.00021076
781 VBG RBR |0.00000000
782 WP PRP$ |0.00005269
783 -LRB- NNP |0.00005855
784 -RRB- `` |0.00001756
785 VBP PDT |0.00001756
786 WDT NNS |0.00004684
787 CD VBD |0.00011124
788 PRP$ `` |0.00001171
789 '' WDT |0.00002342
790 PRP WP |0.00009953
791 VBZ EX |0.00004098
792 -LRB- RB |0.00000000
793 RB -RRB- |0.00001756
794 -RRB- . |0.00008196
795 VBG NNP |0.00021076
796 NN CD |0.00015807
797 CD `` |0.00000000
798 VB '' |0.00004684
799 VBN RBR |0.00004684
800 NNP VBN |0.00007025
801 -LRB- WP |0.00000585
802 NNS RBR |0.00007025
803 UH JJ |0.00000585
804 '' VBN |0.00005269
805 JJ `` |0.00002342
806 JJS TO |0.00000585
807 VBZ JJR |0.00009367
808 RB '' |0.00002342
809 VBN WP |0.00005269
810 MD CC |0.00001171
811 VBP UH |0.00001756
812 UH RBR |0.00000000
813 '' . |0.00000585
814 WP TO |0.00005269
815 POS VBG |0.00006440
816 CD NNP |0.00005855
817 JJS VBZ |0.00000585
818 WP$ VBP |0.00000000
819 JJS MD |0.00000585
820 POS IN |0.00006440
821 TO JJR |0.00001171
822 WP JJ |0.00003513
823 NNS NNS |0.00003513
824 VBD WRB |0.00016978
825 WDT '' |0.00000000
826 VBD RBS |0.00000585
827 VBN JJR |0.00005855
828 EX RB |0.00005269
829 MD VBN |0.00001171
830 RB EX |0.00004098
831 CD WRB |0.00000585
832 PRP$ PRP |0.00009367
833 NNP NNPS |0.00008782
834 VBP `` |0.00005269
835 JJ NNPS |0.00001171
836 NNPS CC |0.00002342
837 PRP$ MD |0.00004684
838 RB POS |0.00004098
839 CD VBG |0.00005269
840 VBN VB |0.00002342
841 NN JJS |0.00001171
842 CD CD |0.00002927
843 EX VBG |0.00001756
844 JJS , |0.00005855
845 POS CC |0.00001756
846 NN EX |0.00005855
847 DT FW |0.00000585
848 FW NN |0.00001171
849 : RBR |0.00000000
850 POS VBN |0.00004098
851 RBR VBD |0.00002342
852 PRP$ VBD |0.00006440
853 PRP$ CC |0.00007611
854 VBN VBP |0.00002927
855 , RBR |0.00005269
856 RBS RB |0.00005269
857 VB WDT |0.00002342
858 EX DT |0.00002927
859 MD WDT |0.00001756
860 JJS NNP |0.00000585
861 WRB TO |0.00005855
862 VBN VBD |0.00009367
863 CC PDT |0.00006440
864 `` JJR |0.00000585
865 PRP JJS |0.00000585
866 WRB VBN |0.00001756
867 NNS WP$ |0.00002342
868 VBP RBS |0.00000000
869 CC RP |0.00003513
870 WRB POS |0.00000000
871 , RP |0.00000585
872 VBZ VBZ |0.00001756
873 VB VBZ |0.00003513
874 PRP$ RBS |0.00000000
875 RP PDT |0.00002342
876 RP NNP |0.00004684
877 VBZ VB |0.00004684
878 TO CC |0.00006440
879 WP$ VBN |0.00000585
880 RP VB |0.00001756
881 NNS '' |0.00003513
882 RP `` |0.00000000
883 NNPS POS |0.00000000
884 NNPS VBD |0.00002342
885 RB RP |0.00000585
886 RB PDT |0.00005855
887 MD '' |0.00000000
888 JJS VB |0.00000000
889 , UH |0.00010538
890 RB `` |0.00005269
891 : WP$ |0.00000000
892 MD NNP |0.00002927
893 '' MD |0.00001171
894 JJR PRP |0.00004098
895 RBR PRP |0.00003513
896 RB FW |0.00000000
897 FW IN |0.00001756
898 NNP PDT |0.00000585
899 DT -LRB- |0.00000000
900 -LRB- TO |0.00000585
901 -RRB- JJ |0.00000585
902 CD VBN |0.00001756
903 JJS VBP |0.00001171
904 : -LRB- |0.00002342
905 -RRB- : |0.00001171
906 WP WRB |0.00000000
907 WP PDT |0.00000585
908 CC NNPS |0.00001171
909 PRP$ RP |0.00003513
910 RBS VBN |0.00002342
911 RBR VBG |0.00000585
912 '' UH |0.00000585
913 JJR MD |0.00000000
914 '' CD |0.00001756
915 , FW |0.00004684
916 VBZ JJS |0.00001756
917 VBP '' |0.00001171
918 -LRB- VB |0.00000000
919 -RRB- '' |0.00000000
920 PRP RBS |0.00001171
921 RBS VB |0.00000000
922 VBZ VBD |0.00005269
923 `` RBR |0.00000000
924 RBR VBZ |0.00000585
925 VBD WDT |0.00000000
926 WDT : |0.00001171
927 VB JJS |0.00000000
928 WP$ JJ |0.00004684
929 FW . |0.00009953
930 WRB CC |0.00000000
931 PRP$ WRB |0.00001171
932 PRP$ WDT |0.00004098
933 WP$ JJS |0.00000000
934 `` RP |0.00000585
935 RBR PRP$ |0.00000000
936 NNPS NNP |0.00002342
937 VBD MD |0.00000000
938 VBN MD |0.00003513
939 VBN -LRB- |0.00001171
940 NNS -RRB- |0.00001756
941 -RRB- IN |0.00002927
942 '' PDT |0.00001171
943 JJ -LRB- |0.00000000
944 PRP$ -RRB- |0.00000000
945 JJR PRP$ |0.00000000
946 RB JJS |0.00000585
947 WRB : |0.00003513
948 JJR VBG |0.00000585
949 VBG VBG |0.00001756
950 TO IN |0.00006440
951 `` NNPS |0.00001756
952 JJR RP |0.00001171
953 PDT PRP$ |0.00005855
954 SYM SYM |0.00007611
955 SYM VB |0.00000000
956 RP CD |0.00001756
957 EX NN |0.00000585
958 JJ POS |0.00006440
959 VBD JJS |0.00002927
960 RBS NNS |0.00000585
961 TO VBZ |0.00000000
962 RBR MD |0.00000000
963 MD VBD |0.00001756
964 NNP WRB |0.00008196
965 NNPS WDT |0.00000000
966 JJ JJS |0.00001171
967 `` RBS |0.00001756
968 WP '' |0.00000585
969 TO WP$ |0.00000000
970 TO FW |0.00000000
971 POS NNPS |0.00000000
972 NNPS RB |0.00001756
973 UH NNP |0.00005269
974 NNS RP |0.00000585
975 NNP JJR |0.00001756
976 DT '' |0.00001171
977 VBG '' |0.00001171
978 WRB '' |0.00000000
979 RBR WRB |0.00000000
980 VBZ WP$ |0.00000000
981 EX JJ |0.00000000
982 POS FW |0.00000000
983 NNPS VBP |0.00000000
984 NNPS PRP$ |0.00000000
985 '' NNS |0.00000585
986 JJ RP |0.00000000
987 POS '' |0.00000000
988 JJS WRB |0.00000000
989 VBN WDT |0.00000585
990 WP CC |0.00001171
991 MD JJ |0.00000000
